tree_code,tree_common_name,tree_species,latitude,longitude,dbh,stream_distance,canopy_height,large_vines,epiphytes,moss,mean_ground_cover,density_small_stems,density_big_stems,canopy_size,mean_canopy_cover,root_base,lugovia_epiphytes,dbh_r,ground_cover,canopy_cover,espave
PAT101,Espavé,Anacardium excelsum,-79.70968802,9.350937009,1.027516036907592,-0.6937219592618024,1.4707673527438592,0,5,0,32.08333333,2.875659211269809,-0.6203947191314525,1.0112883009023335,92.83333333,4,3,1.8,1.5323468934350568,0.4536118837805231,1
PAT102,Espavé,Anacardium excelsum,-79.70983797,9.351645028,0.9441618170826394,-0.7604622787570464,-0.36024799076143377,2,3,0,21.66666667,3.9125898917436515,-0.9457978316170674,0.6156507401885398,94.22222222,3,0,1.75,0.26463243236250106,0.5119658219564627,1
PAT103,Espavé,Anacardium excelsum,-79.70953899,9.350975985,1.6943497955072122,-0.7938324385046683,0.738361215341742,0,5,1,41.66666667,-0.18055753117940979,-0.2949916066458377,0.3714224777042138,92.05555556,2,1,2.2,2.698644199179575,0.4209336787549216,1
PAT104,Espavé,Anacardium excelsum,-79.70955902,9.351055026,2.1277917385969647,-0.7637992947318086,0.3721581466406834,0,5,1,22.08333333,1.2384002421005846,1.0066208432966217,0.6680415008215735,90.5,3,3,2.46,0.31534101002651915,0.35557726786342186,1
PAT105,Espavé,Anacardium excelsum,-79.70934402,9.350441974,0.8608075972576867,-0.7804843746056196,-0.36024799076143377,3,4,1,17.91666667,1.729577932851352,-0.2949916066458377,0.6920539327783808,92.16666667,3,1,1.7,-0.19174477391570036,0.42560199375857877,1
PAT106,Espavé,Anacardium excelsum,-79.71007501,9.349897988,2.5278919937567372,-0.7637992947318086,0.18905661229015414,2,4,1,17.91666667,1.7841532318236593,0.03041150583977709,1.627403645946811,90.94444444,5,1,2.7,-0.19174477391570036,0.3742505278780512,1
PAT107,Espavé,Anacardium excelsum,-79.71027902,9.349288037,0.8608075972576867,-0.7637992947318086,0.738361215341742,2,5,1,10.5,-0.3442834280963321,0.681217730811007,0.5017444947788855,92.72222222,2,2,1.7,-1.0943574711827009,0.4489435687768659,1
PAT108,Espavé,Anacardium excelsum,-79.71039503,9.349163985,2.194475114456927,-0.7971694544794306,0.5552596809912127,2,5,1,7.583333333,-0.8900364178194069,0.03041150583977709,1.4024726469623194,91.61111111,3,1,2.5,-1.4493175205507578,0.4022604183201436,1
PAT109,Espavé,Anacardium excelsum,-79.71075302,9.348848993,0.027265399008161804,-0.5135230966246438,-0.6349002922872277,0,5,1,30.5,0.5834966544328951,-0.6203947191314525,-0.6440850992327583,91.72222222,2,1,1.2,1.3396542956343733,0.40692873332380136,1
PAT110,Espavé,Anacardium excelsum,-79.71070097,9.3488410300000009,0.5273907179578768,-0.6970589752365647,-1.092654128163551,2,4,1,13.08333333,1.4021261390175073,-1.596604056588297,-0.41688383395416834,94.66666667,2,1,1.5,-0.779964285041164,0.5306390823912401,1
PAT111,Espavé,Anacardium excelsum,-79.71044901,9.34886802,0.8608075972576867,0.03708453921111896,0.9214627496922713,2,5,1,6.916666667,-0.8354611188470996,-0.2949916066458377,0.2014144594500191,94.5,2,5,1.7,-1.530451246030193,0.52363660967568,1
PAT112,Espavé,Anacardium excelsum,-79.71084103,9.348974973,1.027516036907592,-0.6703628474384671,-0.9095525938130216,3,4,1,37.5,0.8563731492944325,0.03041150583977709,-1.0317330689500142,92.27777778,4,2,1.8,2.1915584140203492,0.430270308762236,1
PAT113,Espavé,Anacardium excelsum,-79.71038296,9.349968983,1.6109955756822592,-0.7971694544794306,-0.543349525111963,2,5,1,30,1.0200990462113548,1.0066208432966217,-0.4401104045014799,93,5,3,2.15,1.2788040014639466,0.4606143564960832,1
PAT114,Espavé,Anacardium excelsum,-79.71062402,9.348854022,0.5273907179578768,-0.2298767387698569,0.005955077939624844,1,4,1,26.33333333,-0.18055753117940979,-0.9457978316170674,0.8913571180198802,92.72222222,2,1,1.5,0.8325685104751475,0.4489435687768659,1
PAT115,Espavé,Anacardium excelsum,-79.715869,9.350234019,0.8608075972576867,-0.41674963335654,1.4707673527438592,1,5,1,13.25,0.36519545854366503,0.03041150583977709,1.9094842329885042,92,2,2,1.7,-0.7596808532453532,0.4185995210430187,1
PAT116,Espavé,Anacardium excelsum,-79.71603999,9.349869993,1.527641355857307,-0.7804843746056196,1.8369704214449178,3,5,1,5.25,0.6926472523775097,0.35581461832539185,1.8399354982481515,94.77777778,4,2,2.1,-1.7332855599721828,0.5353073973948973,1
PAT117,Espavé,Anacardium excelsum,-79.71463904,9.351696996,-0.13944304064174298,-0.48015293687702176,-0.17714645641090446,2,4,1,17.08333333,0.5289213554605874,0.35581461832539185,0.09200508766136681,91.83333333,3,3,1.1,-0.2931619316777494,0.4115970483274585,1
PAT118,Espavé,Anacardium excelsum,-79.71533599,9.352012994,0.027265399008161804,-0.6203076078170341,-1.6419587312151387,0,3,1,23.16666667,1.1838249431282772,0.03041150583977709,-0.331443235155129,90.38888889,1,1,1.2,0.4471833148737816,0.3509089528597647,1
PAT119,Espavé,Anacardium excelsum,-79.71562802,9.351969995,1.6943497955072122,-0.7637992947318086,1.2876658183933298,1,5,1,21.66666667,0.4743460564882801,-0.9457978316170674,2.21199721667708,91.83333333,5,4,2.2,0.26463243236250106,0.4115970483274585,1
